landing_page,unique_visitors,sessions_with_purchase,revenue_usd
/home,221208,3585,593528.46
/basket.html,4899,441,71251.52
/store.html,1760,167,32299.02
/home-2,2685,206,29343.54
/signin.html,7680,129,24261.82
/google+redesign/bags/water+bottles+and+tumblers,761,26,12631.46
/google+redesign/apparel/mens+outerwear/blm+sweatshirt.axd,2116,203,11949.7
/asearch.html,1527,22,11291.56
/google+redesign/shop+by+brand/youtube,63351,174,11282.52
/google+redesign/apparel/mens/mens+t+shirts,11746,122,10092.79
/google+redesign/office/notebooks++journals,1081,27,7685.17
/google+redesign/apparel,3570,59,5087.35
/google+redesign/drinkware/mugs+and+cups,782,20,5015.72
/google+redesign/drinkware/bottles/26oz+double+wall+insulated+bottle.axd,122,3,4453.64
/google+redesign/apparel/men++s/men++s+t+shirts,5493,57,4284.64
